"seller_id","total_orders","total_revenue","avg_review_score"
"2138ccb85b11a4ec1e37afbd1c8eda1f",396,12376.02,3.90
"056b4ada5bbc2c50cc7842547dda6b51",65,12333.39,4.12
"d6b1ce66b035a475f00c017792ff9769",92,12277.40,4.17
"48436dade18ac8b2bce089ec2a041202",138,12271.71,4.05
"c510bc1718f0f2961eaa42a23330681a",13,12251.00,4.00
"fbc14c0cf93505ef89f64665ffa4a7b5",18,12227.82,4.18
"c8b0e2b0a7095e5d8219575d5e7e1181",84,12170.21,4.05
"70c27847eca8195c983ed7e798c56743",77,12077.52,4.20
"ff063b022a9a0aab91bad2c9088760b7",94,12076.50,4.28
"e26901d5ab434ce92fd9b5c256820a4e",202,11990.90,4.06
"701938c450705b8ae65fc923b70f35c7",75,11983.28,3.77
"23d7c96d4a1160db1c726b248601b25a",53,11976.84,3.81
"128639473a139ac0f3e5f5ade55873a5",533,11908.85,4.18
"d71d863e5ef30d94e440c11be17dcd8f",29,11900.90,3.24
"8b8cfc8305aa441e4239358c9f6f2485",15,11892.00,4.20
"7901646fdd36a55f564ffaf2dbccaaf7",22,11857.08,4.44
"09f952a5f58d2285b0372551ae8f9b01",50,11821.50,3.88
"adbc26658d6c7b4b6219f9d934598091",88,11806.40,4.05
"0be8ff43f22e456b4e0371b2245e4d01",161,11805.50,3.89
"72c5da29406b4234927b81855e7b64f6",31,11798.69,4.13
"ce7d1888639e6fb06b2749cbfdac1ff7",78,11793.89,4.11
"d1b65fc7debc3361ea86b5f14c68d2e2",40,11703.07,4.56
"bba3293d6f5d5af2f415e004e8b93ae3",17,11702.10,4.29
"25e6ffe976bd75618accfe16cefcbd0d",108,11691.61,4.38
"82e0a475a88cc9595229d8029273f045",42,11528.62,3.32
"cab85505710c7cb9b720bceb52b01cee",206,11503.90,4.29
"c4d51195486dc781531876a7d00453d8",17,11468.98,3.94
"80e6699fe29150b372a0c8a1ebf7dcc8",98,11441.56,4.29
"b4f8921fcc4ff77b66bea6dda43dcd51",18,11395.05,4.60
"1d8dbc4f32378d715c717c1c1fc57bae",92,11315.89,3.90
"813348c996469b40f2e028d5429d3495",179,11205.83,4.00
"6cd68b3ed6d59aaa9fece558ad360c0a",149,11188.57,4.45
"6973a06f484aacf400ece213dbf3d946",95,11185.43,3.53
